comuna_id;n;criterio
13504;3;No
13202;20;No
13403;29;Sí
13303;36;Sí
13503;59;Sí
13602;67;Sí
13603;68;Sí
13302;114;Sí
13604;117;Sí
13404;140;Sí
13301;195;Sí
13601;209;Sí
13102;214;Sí
13501;220;Sí
13108;223;Sí
13130;250;Sí
13402;251;Sí
13107;255;Sí
13129;271;Sí
13605;274;Sí
13131;309;Sí
13117;311;Sí
13109;315;Sí
13116;338;Sí
13123;348;Sí
13126;348;Sí
13118;377;Sí
13132;381;Sí
13106;385;Sí
13121;385;Sí
13104;418;Sí
13115;418;Sí
13128;425;Sí
13127;437;Sí
13111;480;Sí
13103;494;Sí
13113;509;Sí
13112;554;Sí
13101;593;Sí
13105;617;Sí
13120;637;Sí
13125;699;Sí
13124;824;Sí
13122;867;Sí
13401;901;Sí
13114;1266;Sí
13110;1562;Sí
13119;2249;Sí
13201;2457;Sí
